Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2016-04-11,ADANIPORTS,EQ,219.25,220.9,229.9,218.75,228.85,229.05,225.81,2417006,54578111095000,37484,842917,0.3487,Services
2016-04-12,ADANIPORTS,EQ,229.05,229,234.8,226.3,233.55,233.6,232.14,2704639,62784981295000,35847,1211329,0.4479,Services
2016-04-13,ADANIPORTS,EQ,233.6,235,237.95,232,233,233.55,234.2,2830268,66284500000000,42311,1400734,0.4949,Services
2016-04-18,ADANIPORTS,EQ,233.55,235.85,236.75,228.05,230.65,231.3,232.89,5479038,127601930390000,50230,3672318,0.6702,Services
2016-04-20,ADANIPORTS,EQ,231.3,232,236.3,231.5,233.6,233.5,233.43,2111521,49289100000000,35795,926279,0.4387,Services
2016-04-21,ADANIPORTS,EQ,233.5,234.1,236,228.4,229.5,229.35,231.16,2990447,69127800000000,62998,1976730,0.661,Services
2016-04-22,ADANIPORTS,EQ,229.35,229.5,233.4,227.3,231.3,230.1,229.11,7431640,170268535130000,22391,6127961,0.8246,Services
2016-04-25,ADANIPORTS,EQ,230.1,231,233.7,230.25,232.7,231.8,231.65,1454607,33696300000000,18615,540149,0.3713,Services
2016-04-26,ADANIPORTS,EQ,231.8,232.2,232.9,227,229,229.1,229.89,2703783,62156700000000,35672,1144033,0.4231,Services
2016-04-27,ADANIPORTS,EQ,229.1,230,242,227.65,241.4,241.25,234.62,7177265,168390994915000,49500,4108627,0.5725,Services
2016-04-28,ADANIPORTS,EQ,241.25,241.7,241.7,234.35,236.2,235.45,236.67,5899252,139614753585000,63705,4191385,0.7105,Services
2016-04-29,ADANIPORTS,EQ,235.45,236,240.1,232.75,237.85,238.2,236.32,2160232,51049600000000,40236,1067791,0.4943,Services
2016-05-02,ADANIPORTS,EQ,238.2,237,237.25,231.8,232.95,232.95,233.62,2312439,54023700805000,29347,1307940,0.5656,Services
2016-05-03,ADANIPORTS,EQ,232.95,235.25,242.45,232.5,232.7,235.5,238.37,5328996,127026960610000,57348,1931760,0.3625,Services
2016-05-04,ADANIPORTS,EQ,235.5,234.5,234.5,205.5,207.25,208.25,213.24,22904231,488414641610000,200351,7108757,0.3104,Services
2016-05-05,ADANIPORTS,EQ,208.25,209.65,210.7,196.7,197.9,198,200.51,17225029,345378597815000,220399,7815160,0.4537,Services
2016-05-06,ADANIPORTS,EQ,198,198,199.5,190.55,193.9,194.55,194.84,15642446,304784157690000,220349,7099348,0.4539,Services
2016-05-09,ADANIPORTS,EQ,194.55,196.15,198.4,194.35,197.15,196.75,196.69,9413270,185146360435000,109273,5938714,0.6309,Services
2016-05-10,ADANIPORTS,EQ,196.75,197.95,198.95,194,194.9,194.55,195.8,4925308,96437300000000,79649,2694727,0.5471,Services
2016-05-11,ADANIPORTS,EQ,194.55,191.8,195.45,189.3,192.95,193,192.85,7021749,135416500395000,132166,4138187,0.5893,Services
2016-05-12,ADANIPORTS,EQ,193,194.2,197.65,193.6,195,195.15,195.91,6098282,119472523360000,42145,3727483,0.6112,Services
2016-05-13,ADANIPORTS,EQ,195.15,194.6,200.25,179.4,188.8,188.55,193.31,15272242,295235070705000,125916,7334006,0.4802,Services
2016-05-16,ADANIPORTS,EQ,188.55,189,192.2,183.7,185.55,185.8,186.66,9997240,186613480330000,90069,6444435,0.6446,Services
2016-05-17,ADANIPORTS,EQ,185.8,186.6,187.35,182.7,182.8,183.25,184.45,7208437,132961511245000,63213,4982441,0.6912,Services
2016-05-18,ADANIPORTS,EQ,183.25,182.4,185.5,180.55,183.2,183.2,183.05,5909252,108166484575000,48273,3278248,0.5548,Services
2016-05-19,ADANIPORTS,EQ,183.2,184.5,184.5,169.7,170.9,171.55,177.2,13478073,238827271260000,74235,7891714,0.5855,Services
2016-05-20,ADANIPORTS,EQ,171.55,171.6,180.4,170.35,177.9,177.95,176.86,13115129,231947706655000,91110,6471029,0.4934,Services
2016-05-23,ADANIPORTS,EQ,177.95,179.25,182.45,178,180.65,181.1,181.16,10109957,183155436775000,97585,7253387,0.7174,Services
